,0,1,2,3,4,5,6,7,8,9
Industry,Agriculture ,Production ,Construction ,Retail ,ICT ,Finance ,Real_Estate ,Professional_Service ,Public_Adminstration ,Other_Service 
2009,37700,156700,96600,345400,27800,33800,13500,144800,415600,64200
2010,38200,149800,93200,344500,27900,29800,14600,145800,418600,68000
2011,36100,158600,90000,343100,26400,33200,17600,143600,425600,72400
2012,36100,154400,91300,347300,27200,31100,18800,137300,421000,72800
2013,36800,164200,89300,345100,26900,32400,18000,149900,427000,75500
2014,42700,173300,97000,337300,35700,32400,22200,152900,427600,73300
2015,40700,172300,92600,357700,24000,30800,19100,166200,423200,77200
2016,43200,162500,102700,360200,34400,31000,22700,161200,418500,72400
2017,40200,165100,90800,333500,58900,32100,18200,176400,424500,83200
2018,41100,165700,101800,347600,31500,35500,25200,187100,434900,81800
